Service__c,Id,Location_ID__c,Opens_At__c,Closes_At__c,Weekday__c
a1T2E000009DWzOUAW,a1Q2E000003FAQFUA4,a0K2E00000wAnVHUA0,08:00:00.000Z,16:30:00.000Z,1
a1T2E000009DWzPUAW,a1Q2E000003FAQGUA4,a0K2E00000wAnVIUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzQUAW,a1Q2E000003FAQHUA4,a0K2E00000wAnVJUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzRUAW,a1Q2E000003FAQIUA4,a0K2E00000wAnVKUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzSUAW,a1Q2E000003FAQJUA4,a0K2E00000wAnVLUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzTUAW,a1Q2E000003FAQKUA4,a0K2E00000wAnVMUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzUUAW,a1Q2E000003FAQLUA4,a0K2E00000wAnVNUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzVUAW,a1Q2E000003FAQMUA4,a0K2E00000wAnVOUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzWUAW,a1Q2E000003FAQNUA4,a0K2E00000wAnVPUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzXUAW,a1Q2E000003FAQOUA4,a0K2E00000wAnVQUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzYUAW,a1Q2E000003FAQPUA4,a0K2E00000wAnVRUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzZUAW,a1Q2E000003FAQQUA4,a0K2E00000wAnVSUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzaUAG,a1Q2E000003FAQRUA4,a0K2E00000wAnVTUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzbUAG,a1Q2E000003FAQSUA4,a0K2E00000wAnVUUA0,08:00:00.000Z,17:00:00.000Z,1
a1T2E000009DWzcUAG,a1Q2E000003FAQTUA4,a0K2E00000wAnVVUA0,08:00:00.000Z,17:00:00.000Z,1
